city_id,iran_m,iran_d,leba_m,leba_d,other_m,other_d,warn,hit,total_hit,dur
337,39,1,1,0,0,0,143,32,40,180811
2242,129,3,7,0,0,0,159,110,132,205719
914,38,1,3,0,0,0,135,30,39,174910
1354,56,0,3,1,0,0,73,44,56,111520
1357,45,0,1,1,0,0,73,34,45,106582
369,47,1,1,0,0,0,143,39,48,180676
577,98,1,5,0,0,0,158,83,99,196217
1432,29,0,2,0,0,0,66,22,29,101618
1371,49,0,2,0,0,0,73,40,49,106371
201,24,0,3,0,0,0,66,19,24,94233
1344,18,0,1,2,0,0,66,15,18,95211
579,99,1,4,0,0,0,158,86,100,195375
1088,28,0,1,0,0,0,64,23,28,94930
54,8,0,0,0,0,0,57,8,8,70699
724,130,4,11,0,0,0,158,112,134,211714
520,77,1,4,0,0,0,143,67,78,185994
1029,20,0,2,0,0,0,64,16,20,95716
407,54,1,3,0,0,0,143,46,55,184711
983,19,0,1,0,0,0,64,14,19,99971
2230,17,0,1,0,0,0,126,9,17,162707
1442,46,0,12,4,0,0,73,35,46,123005
178,24,0,2,0,0,0,46,16,24,73848
2211,73,1,1,0,0,0,159,55,74,203457
1776,76,1,1,0,0,0,159,60,77,203457
108,32,0,1,1,0,0,73,28,32,93842
1176,34,0,0,0,0,0,73,27,34,103211
937,26,1,1,0,0,0,135,23,27,167915
470,67,1,4,0,0,0,143,57,68,186051
2255,118,3,8,0,0,0,135,96,121,187071
783,124,4,12,0,0,0,158,107,128,212404
113,25,0,2,0,0,0,46,16,25,73595
1030,21,0,2,0,0,0,64,16,21,96531
1836,68,1,3,0,0,0,159,56,69,197116
580,95,1,4,0,0,0,158,80,96,196355
888,54,1,4,0,0,0,135,44,55,177011
766,50,0,4,1,0,0,136,40,50,181282
1410,37,0,2,2,0,0,73,31,37,108884
714,129,3,9,0,0,0,159,110,132,207494
899,44,1,4,0,0,0,135,35,45,177011
1543,27,0,3,7,0,0,73,23,27,121196
856,92,3,8,0,0,0,135,77,95,181825
878,56,1,4,0,0,0,135,46,57,177011
1197,21,0,1,0,0,0,66,16,21,96512
935,33,1,2,0,0,0,135,27,34,173292
891,47,1,4,0,0,0,135,39,48,175457
2239,45,1,1,0,0,0,126,36,46,167884
716,134,4,10,0,0,0,158,114,138,211357
474,71,1,2,0,0,0,143,58,72,185243
1373,25,0,2,0,0,0,66,19,25,100428
30,0,0,0,2,0,0,12,0,0,19462
129,33,0,3,0,0,0,46,21,33,77158
482,72,1,4,0,0,0,143,63,73,185173
1419,49,0,4,2,0,0,73,40,49,113014
522,76,1,4,0,0,0,158,63,77,200571
1033,25,0,1,0,0,0,63,18,25,94927
1576,25,0,12,6,0,0,69,19,25,123208
291,18,0,2,0,0,0,46,8,18,73781
1545,29,1,17,28,0,0,69,22,30,149737
740,82,0,5,0,0,0,159,70,82,202214
1145,29,0,0,0,0,0,73,22,29,103211
273,31,0,0,0,0,0,143,22,31,182167
1051,18,0,0,0,0,0,54,15,18,83406
1198,21,0,0,0,0,0,66,16,21,93613
793,121,3,10,0,0,0,135,99,124,188864
2295,92,0,5,0,0,0,159,78,92,199429
1880,46,0,4,0,0,0,73,36,46,105722
1372,42,0,1,1,0,0,73,31,42,106582
1328,47,0,2,0,0,0,73,38,47,106371
1096,28,0,0,0,0,0,73,22,28,103507
409,53,1,3,0,0,0,143,45,54,184711
839,111,3,10,0,0,0,135,94,114,186221
1544,27,1,16,24,0,0,69,20,28,144961
970,22,0,1,0,0,0,135,18,22,167915
1011,18,0,0,0,0,0,54,12,18,87293
1000,21,0,0,0,0,0,54,13,21,89290
1803,105,1,5,0,0,0,158,88,106,198177
1366,53,0,4,1,0,0,73,43,53,112665
796,104,3,9,0,0,0,159,86,107,209243
710,135,3,9,0,0,0,158,114,138,206114
1062,20,0,0,0,0,0,54,15,20,83146
974,19,0,1,0,0,0,135,15,19,167915
277,25,0,1,0,0,0,143,18,25,180016
825,111,4,11,0,0,0,135,94,115,191923
342,21,1,1,0,0,0,126,16,22,163531
196,43,0,3,0,0,0,66,33,43,99178
